geneNames	GSM610737	GSM610738	GSM435828	GSM435833	GSM610718	GSM610690	GSM435823	GSM435824	GSM435825	GSM435826	GSM435827	GSM610691	GSM435821	GSM435822	GSM610695	GSM610696	GSM610717
ABCA6	5.425298999	15.38974883	2.017295871	2.959810069	3.891449899	4.130447616	1.977274778	2.784162924	2.264641909	2.462833854	2.277552637	3.88978038	4.747376033	3.933175111	8.055100714	4.339421025	6.322152716
ABCA7	1.608983994	1.815052652	1.289678824	0.501320806	1.044108649	1.121701439	2.45066946	1.194415828	1.16771028	1.577010009	1.380013248	1.110284992	2.03905835	1.3714973	0.921198176	1.161779498	1.622301382
ABCA8	0.22940782	0.815149913	0.605014192	0.086699887	0.368856645	0.678464404	-0.009827893	0.888795468	1.138404219	0.599348142	0.565296227	0.504943769	0.126635421	0.727632603	1.036526299	1.514139602	0.601925268
ABCA9	2.169060018	4.751552996	0.389292238	0.905055819	2.317002515	2.222615584	0.480128646	1.887313273	2.341917849	2.43293038	1.823165733	1.965502472	4.179620755	2.935432374	4.225133017	2.154844355	2.432355836
ABCB1	14.29651922	10.68480448	9.667604822	22.38656779	8.468206258	9.124761825	3.61881161	9.099541643	7.065869436	6.638065207	4.424891627	6.340434192	7.459154795	10.88265456	8.661768192	9.585734051	6.04133342
ABCB10	0.313097412	0.584613349	0.545902653	0.042552925	0.238734193	0.723775328	0.158336751	0.684230558	0.306022585	0.572053008	0.396135162	0.264933948	0.288146457	0.259032922	0.306214214	0.344580932	0.218232222
ABCB11	5.488171057	6.50101139	3.445872267	4.078416005	6.155122108	4.992650192	1.736281576	5.50682378	5.691456314	3.692727123	3.856741303	7.510043424	4.31188498	6.421539509	6.190774669	7.815775875	3.552300933
ABCB4	65.06402797	28.01853003	57.99992693	56.37455113	24.61748923	63.41146598	113.9880927	56.14780351	71.01668832	74.9930372	73.06834033	66.28333258	121.0863513	112.0480105	55.85123932	99.70260625	112.1978958
ABCB5	0.395172498	0.158714727	1.036897816	0.192318129	0.288302394	0.414041487	0.310972577	0.18011518	0.126244575	0.275987687	0.077226616	0.298899262	0.272313021	0.164043209	0.156084855	0.104313341	0.234708927
ABCB6	24.01420537	13.17135755	7.142660677	20.08360402	9.506459285	6.269785576	2.316798969	4.567743645	6.408142115	3.993854078	3.046962201	8.419772513	5.998420665	6.567556027	12.08586278	9.957980359	6.409020435
ABCB7	9.08018009	12.38238228	5.932811797	7.583599006	6.150982663	9.338643022	5.749804864	9.06988333	11.12538163	8.977030665	5.616697132	9.070993467	9.193409085	10.39355346	12.57639685	11.81228743	10.22513007
ABCB8	4.906700744	2.363664011	3.703773466	3.798889486	3.905027772	3.325395207	1.959771671	2.893761721	2.822258747	3.867255102	3.216787998	1.979031578	1.560735077	2.082212199	2.541755028	2.166732382	2.68084264
ABCB9	0.726763374	0.18986681	0.457832523	0.840222955	0.738350676	0.608397571	0.286354794	0.243125404	0.082703097	0.203345722	0.263521594	0.764372721	0.457506199	0.028243278	0.095490122	0.295392853	0.352771232
ABCC1	0.626269039	0.298539352	-0.001798561	0.562279198	0.437208966	0.568478933	1.29485479	0.563969664	0.677952031	0.881044567	1.134192793	0.440577555	0.439563784	0.912182127	0.656242315	1.356412726	1.554599818
ABCC10	7.517890645	4.412112119	5.288192727	6.405038781	3.66253297	3.499475457	3.405708136	3.55514915	2.797919097	3.343770424	3.091583164	5.283571188	5.045750383	4.632488984	4.72655107	4.854578359	4.518871486
ABCC11	0	2.2530277	0	0	0	1.497254009	0.914530671	1.129899596	1.190004992	1.641102738	1.422369176	1.878795826	1.367756014	1.36603471	2.114787649	1.559323587	1.457108147
ABCC12	2.866122133	2.036265722	4.540346785	6.36216765	3.389305798	1.32842767	-0.055690728	0.915764756	0.509574463	0.525481388	1.027109153	1.504307803	1.421567223	1.081555382	1.638077921	1.404189637	1.051206734
ABCC2	130.5177837	57.62913791	20.74143997	39.86891713	31.38655466	34.73452743	35.77737805	29.30404402	37.68492195	30.30305682	15.08691555	28.00307472	45.67457101	46.1225658	47.85589688	41.37450934	46.26127279
ABCC3	3.446646563	7.106978407	1.851761677	3.245054275	4.733745841	7.896011404	0.792775216	7.797622887	6.176602744	5.58882653	5.333480732	1.663914432	4.877384872	3.673119399	4.072606656	3.765624518	4.202306601
ABCC4	0.052658748	0.055090217	0.619240389	1.207564335	1.074012718	0.047286234	0.676032932	-0.023304842	0.563625136	0.272151149	0.511949724	0.207952625	0.220735118	0.275545396	0.096597983	0.15584872	0.441401461
ABCC5	2.032727303	2.119342132	1.067171692	0.983115032	1.775035719	2.516517315	0.898099529	3.053140215	2.226734778	2.301000697	2.383502735	1.629236072	1.528157954	1.793397783	1.551888051	1.556101033	2.051016439
ABCC5-AS1	1.964243949	0.579502738	0.678337174	1.276175834	0.487861021	0.700411237	0.677025669	0.792024378	1.012345415	0.722549512	1.437720737	0.380204219	0.378381206	0.658099514	0.346936504	0.235618279	0.411116442
ABCC6	2.123734266	2.309702375	2.135707411	1.588474325	2.247731213	3.031242166	1.18278814	4.451936961	4.375644251	5.386063779	5.387605928	2.387586645	1.982365778	3.134054929	2.846054514	4.545434337	2.100428189
ABCC6P1	1.863108409	1.976227838	1.592124269	1.014417994	0.435888856	1.783575928	0.539483152	2.547055729	2.114984885	1.156245653	1.470848047	3.745999925	1.728816183	2.721080559	3.793911666	3.016431474	0.77294013
